node1,node2,node1_string_id,node2_string_id,homology,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
HLA-C,HLA-A,9606.ENSP00000365402,9606.ENSP00000379873,0,0.382,0.9,0,0.935
HLA-C,HLA-B,9606.ENSP00000365402,9606.ENSP00000399168,0,0.571,0.9,0,0.955
HLA-C,HLA-E,9606.ENSP00000365402,9606.ENSP00000365817,0,0.549,0.9,0,0.952
HLA-C,B2M,9606.ENSP00000365402,9606.ENSP00000452780,0,0.955,0.8,0,0.99
HLA-E,CALR,9606.ENSP00000365817,9606.ENSP00000320866,0,0.27,0.6,0,0.695
HLA-E,HLA-C,9606.ENSP00000365817,9606.ENSP00000365402,0,0.549,0.9,0,0.952
HLA-E,CD8A,9606.ENSP00000365817,9606.ENSP00000386559,0,0.142,0.6,0,0.642
HLA-E,HLA-A,9606.ENSP00000365817,9606.ENSP00000379873,0,0.228,0.9,0,0.919
HLA-E,HLA-G,9606.ENSP00000365817,9606.ENSP00000412927,0,0.635,0.6,0,0.847
HLA-E,HLA-B,9606.ENSP00000365817,9606.ENSP00000399168,0,0.457,0.9,0,0.943
HLA-E,KLRD1,9606.ENSP00000365817,9606.ENSP00000371333,0,0.888,0.5,0,0.942
HLA-E,KLRC1,9606.ENSP00000365817,9606.ENSP00000438038,0,0.909,0.6,0,0.962
HLA-E,B2M,9606.ENSP00000365817,9606.ENSP00000452780,0,0.955,0.8,0,0.99
HLA-G,CALR,9606.ENSP00000412927,9606.ENSP00000320866,0,0,0.6,0,0.6
HLA-G,HLA-C,9606.ENSP00000412927,9606.ENSP00000365402,0,0.675,0.6,0,0.864
HLA-G,HLA-E,9606.ENSP00000412927,9606.ENSP00000365817,0,0.635,0.6,0,0.847
HLA-G,HLA-A,9606.ENSP00000412927,9606.ENSP00000379873,0,0.498,0.6,0,0.79
HLA-G,CD8A,9606.ENSP00000412927,9606.ENSP00000386559,0,0.537,0.6,0,0.807
HLA-G,HLA-B,9606.ENSP00000412927,9606.ENSP00000399168,0,0.647,0.6,0,0.852
HLA-G,KLRC1,9606.ENSP00000412927,9606.ENSP00000438038,0,0.566,0,0,0.566
HLA-G,B2M,9606.ENSP00000412927,9606.ENSP00000452780,0,0.955,0.8,0,0.99
KLRC1,HLA-E,9606.ENSP00000438038,9606.ENSP00000365817,0,0.909,0.6,0,0.962
KLRC1,KLRD1,9606.ENSP00000438038,9606.ENSP00000371333,0,0.933,0.9,0,0.993
KLRC1,HLA-A,9606.ENSP00000438038,9606.ENSP00000379873,0,0,0.9,0,0.9
KLRC1,HLA-G,9606.ENSP00000438038,9606.ENSP00000412927,0,0.566,0,0,0.566
KLRC1,B2M,9606.ENSP00000438038,9606.ENSP00000452780,0,0.933,0.9,0,0.993
KLRD1,HLA-E,9606.ENSP00000371333,9606.ENSP00000365817,0,0.888,0.5,0,0.942
KLRD1,HLA-A,9606.ENSP00000371333,9606.ENSP00000379873,0,0.056,0.9,0,0.901
KLRD1,B2M,9606.ENSP00000371333,9606.ENSP00000452780,0,0.928,0.9,0,0.992
KLRD1,KLRC1,9606.ENSP00000371333,9606.ENSP00000438038,0,0.933,0.9,0,0.993
KPNA1,KPNB1,9606.ENSP00000343701,9606.ENSP00000290158,0,0.822,0.9,0,0.981
KPNA1,RAN,9606.ENSP00000343701,9606.ENSP00000446215,0,0.473,0,0,0.473
KPNA2,NUTF2,9606.ENSP00000438483,9606.ENSP00000219169,0,0.103,0.9,0,0.906
KPNA2,KPNB1,9606.ENSP00000438483,9606.ENSP00000290158,0,0.976,0.9,0,0.997
KPNA2,HLA-C,9606.ENSP00000438483,9606.ENSP00000365402,0,0.417,0,0,0.416
KPNA2,B2M,9606.ENSP00000438483,9606.ENSP00000452780,0,0.417,0,0,0.416
KPNA2,RAN,9606.ENSP00000438483,9606.ENSP00000446215,0,0.626,0.9,0,0.961
KPNB1,NUTF2,9606.ENSP00000290158,9606.ENSP00000219169,0,0.33,0.9,0,0.93
KPNB1,KPNA1,9606.ENSP00000290158,9606.ENSP00000343701,0,0.822,0.9,0,0.981
KPNB1,RAN,9606.ENSP00000290158,9606.ENSP00000446215,0,0.985,0.9,0,0.998
KPNB1,KPNA2,9606.ENSP00000290158,9606.ENSP00000438483,0,0.976,0.9,0,0.997
NSFL1C,UFD1L,9606.ENSP00000418529,9606.ENSP00000263202,0,0.536,0,0,0.536
NSFL1C,UBXN7,9606.ENSP00000418529,9606.ENSP00000296328,0,0.533,0,0,0.533
NSFL1C,ASPSCR1,9606.ENSP00000418529,9606.ENSP00000306625,0,0.747,0,0,0.747
NSFL1C,VCP,9606.ENSP00000418529,9606.ENSP00000351777,0,0.987,0.54,0,0.994
NUTF2,KPNA2,9606.ENSP00000219169,9606.ENSP00000438483,0,0.103,0.9,0,0.906
NUTF2,KPNB1,9606.ENSP00000219169,9606.ENSP00000290158,0,0.33,0.9,0,0.93
NUTF2,RAN,9606.ENSP00000219169,9606.ENSP00000446215,0,0.984,0.9,0,0.998
RAB5A,RAB7A,9606.ENSP00000273047,9606.ENSP00000265062,0,0.777,0,0,0.777
RAB5A,GGA1,9606.ENSP00000273047,9606.ENSP00000341344,0,0.154,0.6,0,0.647
RAB7A,TSG101,9606.ENSP00000265062,9606.ENSP00000251968,0,0.457,0,0,0.457
RAB7A,RAB5A,9606.ENSP00000265062,9606.ENSP00000273047,0,0.777,0,0,0.777
RAN,NUTF2,9606.ENSP00000446215,9606.ENSP00000219169,0,0.984,0.9,0,0.998
RAN,XPO5,9606.ENSP00000446215,9606.ENSP00000265351,0,0.965,0.72,0,0.989
RAN,KPNB1,9606.ENSP00000446215,9606.ENSP00000290158,0,0.985,0.9,0,0.998
RAN,KPNA1,9606.ENSP00000446215,9606.ENSP00000343701,0,0.473,0,0,0.473
RAN,XPO1,9606.ENSP00000446215,9606.ENSP00000384863,0,0.983,0.9,0,0.998
RAN,KPNA2,9606.ENSP00000446215,9606.ENSP00000438483,0,0.626,0.9,0,0.961
STAM,CHMP4B,9606.ENSP00000366746,9606.ENSP00000217402,0,0,0.9,0,0.9
STAM,TSG101,9606.ENSP00000366746,9606.ENSP00000251968,0,0.187,0.9,0,0.915
STAM,CHMP2B,9606.ENSP00000366746,9606.ENSP00000263780,0,0,0.9,0,0.9
STAM,HGS,9606.ENSP00000366746,9606.ENSP00000331201,0,0.987,0.9,0,0.998
STAM,CHMP3,9606.ENSP00000366746,9606.ENSP00000405575,0,0,0.9,0,0.9
STAM,CHMP2A,9606.ENSP00000366746,9606.ENSP00000469240,0,0,0.9,0,0.9
TSG101,CHMP4B,9606.ENSP00000251968,9606.ENSP00000217402,0,0.128,0.9,0,0.909
TSG101,RAB7A,9606.ENSP00000251968,9606.ENSP00000265062,0,0.457,0,0,0.457
TSG101,XPO1,9606.ENSP00000251968,9606.ENSP00000384863,0,0.619,0,0,0.619
TSG101,HIP1R,9606.ENSP00000251968,9606.ENSP00000253083,0,0.653,0,0,0.653
TSG101,CHMP2B,9606.ENSP00000251968,9606.ENSP00000263780,0,0.094,0.9,0,0.905
TSG101,CHMP2A,9606.ENSP00000251968,9606.ENSP00000469240,0,0.134,0.9,0,0.909
TSG101,STAM,9606.ENSP00000251968,9606.ENSP00000366746,0,0.187,0.9,0,0.915
TSG101,CHMP3,9606.ENSP00000251968,9606.ENSP00000405575,0,0.158,0.9,0,0.912
TSG101,HGS,9606.ENSP00000251968,9606.ENSP00000331201,0,0.935,0.9,0,0.993
UBXN7,UFD1L,9606.ENSP00000296328,9606.ENSP00000263202,0,0.64,0.72,0,0.895
UBXN7,ATP6V1B2,9606.ENSP00000296328,9606.ENSP00000276390,0,0.465,0,0,0.465
UBXN7,ASPSCR1,9606.ENSP00000296328,9606.ENSP00000306625,0,0.472,0,0,0.472
UBXN7,NSFL1C,9606.ENSP00000296328,9606.ENSP00000418529,0,0.533,0,0,0.533
UBXN7,ATP6V1F,9606.ENSP00000296328,9606.ENSP00000417378,0,0.615,0,0,0.615
UBXN7,VCP,9606.ENSP00000296328,9606.ENSP00000351777,0,0.986,0.54,0,0.993
UFD1L,ASPSCR1,9606.ENSP00000263202,9606.ENSP00000306625,0,0.438,0,0,0.438
UFD1L,NSFL1C,9606.ENSP00000263202,9606.ENSP00000418529,0,0.536,0,0,0.536
UFD1L,VPS33B,9606.ENSP00000263202,9606.ENSP00000327650,0,0.615,0,0,0.615
UFD1L,UBXN7,9606.ENSP00000263202,9606.ENSP00000296328,0,0.64,0.72,0,0.895
UFD1L,VCP,9606.ENSP00000263202,9606.ENSP00000351777,0,0.98,0.6,0,0.991
VCP,DERL1,9606.ENSP00000351777,9606.ENSP00000259512,0,0.944,0.9,0,0.994
VCP,UFD1L,9606.ENSP00000351777,9606.ENSP00000263202,0,0.98,0.6,0,0.991
VCP,UBXN7,9606.ENSP00000351777,9606.ENSP00000296328,0,0.986,0.54,0,0.993
VCP,ASPSCR1,9606.ENSP00000351777,9606.ENSP00000306625,0,0.782,0,0,0.782
VCP,CALR,9606.ENSP00000351777,9606.ENSP00000320866,0,0.419,0,0,0.418
VCP,NSFL1C,9606.ENSP00000351777,9606.ENSP00000418529,0,0.987,0.54,0,0.994
VPS33B,UFD1L,9606.ENSP00000327650,9606.ENSP00000263202,0,0.615,0,0,0.615
XPO1,TSG101,9606.ENSP00000384863,9606.ENSP00000251968,0,0.619,0,0,0.619
XPO1,RAN,9606.ENSP00000384863,9606.ENSP00000446215,0,0.983,0.9,0,0.998
XPO5,RAN,9606.ENSP00000265351,9606.ENSP00000446215,0,0.965,0.72,0,0.989
